	bib_id	title	journal	volume	number	pages	year	publisher	authors
26	ezeani2022introducing	Introducing the Welsh text summarisation dataset and baseline systems	arXiv preprint arXiv:2205.02545	None	None	None	2022	None	['Ezeani, Ignatius', 'El-Haj, Mahmoud', 'Morris, Jonathan', 'Knight, Dawn']
27	el2022welsh	Welsh summaries correlation between ROUGE and human evaluation	None	None	None	None	2022	None	['El-Haj, Mahmoud', 'Ezeani, Ignatius', 'Morris, Jonathan', 'Knight, Dawn']
28	morris2022welsh	Welsh automatic text summarisation	None	None	None	None	2022	Banolfan Bedwyr	['Morris, Jonathan', 'Ezeani, Ignatius', 'Gruffydd, Ianto', 'Young, Katharine', 'Davies, Lynne', 'El-Haj, Mahmoud', 'Knight, Dawn']
29	el2022creation	Creation of an Evaluation Corpus and Baseline Evaluation Scores for Welsh Text Summarisation	None	None	None	14--21	2022	None	['El-Haj, Mahmoud', 'Ezeani, Ignatius', 'Morris, Jonathan', 'Knight, Dawn']
30	chukwuneke2022igbobert	IgboBERT Models: Building and Training Transformer Models for the Igbo Language	None	None	None	5114--5122	2022	None	['Chukwuneke, Chiamaka', 'Ezeani, Ignatius', 'Rayson, Paul', 'El-Haj, Mahmoud']
31	ezeaniintroducing	Introducing the Welsh Summarisation Dataset and Baseline Systems	None	None	None	None	2022	None	"['""Ezeani, Ignatius', 'El-Haj, Mahmoud', 'Morris, Jonathan', 'Knight, Dawn""']"
32	adelani2022masakhaner	MasakhaNER 2.0: Africa-centric Transfer Learning for Named Entity Recognition	arXiv preprint arXiv:2210.12391	None	None	None	2022	None	['Adelani, David Ifeoluwa', 'Neubig, Graham', 'Ruder, Sebastian', 'Rijhwani, Shruti', 'Beukman, Michael', 'Palen-Michel, Chester', 'Lignos, Constantine', 'Alabi, Jesujoba O', 'Muhammad, Shamsuddeen H', 'Nabende, Peter', 'Others']
33	ifeoluwa2022masakhaner	MasakhaNER 2.0: Africa-centric Transfer Learning for Named Entity Recognition	None	None	None	None	2022	arXiv e-prints	['Ifeoluwa Adelani, David', 'Neubig, Graham', 'Ruder, Sebastian', 'Rijhwani, Shruti', 'Nakatumba-Nabende, Joyce', 'Ogundepo, Odunayo', 'Yousuf, Oreen', 'Moteu Ngoli, Tatiana', 'Klakow, Dietrich']
34	knight2022national	The national corpus of contemporary Welsh, 2016-2020	None	None	None	None	2022	None	"['Knight, D', 'Morris, S', 'Fitzpatrick, T', 'Rayson, P', ""Spasi{\\'C}, I"", 'Thomas, E', 'Lovell, A', 'Morris, J', 'Evas, J', 'Stonelake, M', 'Others']"
35	chukwunekeigboner	"""IgboNER 2.0: Expanding Named Entity Recognition Datasets via Projection"""	None	None	None	None	2022	None	['Chukwuneke, Chiamaka Ijeoma', 'Rayson, Paul', 'Ezeani, Ignatius', 'El-Haj, Mo', 'Asogwa, Doris Chinedu', 'Okpalla, Chidimma Lilian', 'Mbonu, Chinedu Emmanuel']
